date,amount,description
2026-03-30,3000,Subscription Fee
2026-03-09,3000,Office Supplies
2026-03-17,5000,Client Payment
2026-03-22,1000,Subscription Fee
2026-03-12,5000,Office Supplies
2026-03-06,15000,Office Supplies
2026-03-19,7000,Salary Payment
2026-03-12,2000,Bank Charges
2026-03-24,15000,Client Payment
2026-03-10,1000,Utility Bill
2026-03-02,2000,Subscription Fee
2026-03-28,2000,Subscription Fee
2026-03-22,2000,Bank Charges
2026-03-21,5000,Travel Expense
2026-03-01,15000,ATM Withdrawal
2026-03-16,2000,Vendor Payment
2026-03-20,15000,ATM Withdrawal
2026-03-08,3000,Bank Charges
2026-03-23,12000,Bank Charges
2026-03-14,5000,Salary Payment
2026-03-15,3000,Subscription Fee
2026-03-15,3000,Travel Expense
2026-03-27,7000,Utility Bill
2026-03-19,1000,ATM Withdrawal
2026-03-17,12000,Salary Payment
2026-03-18,12000,Bank Charges
2026-03-10,12000,Client Payment
2026-03-16,1000,Salary Payment
2026-03-09,12000,Salary Payment
2026-03-28,3000,Bank Charges
2026-03-21,12000,Bank Charges
2026-03-07,2000,Travel Expense
2026-03-25,2000,ATM Withdrawal
2026-03-26,15000,Utility Bill
2026-03-22,3000,Vendor Payment
2026-03-24,1000,Office Supplies
2026-03-10,3000,Utility Bill
2026-03-13,5000,ATM Withdrawal
2026-03-19,12000,Subscription Fee
2026-03-11,12000,Subscription Fee
2026-03-22,7000,Office Supplies
2026-03-30,12000,Salary Payment
2026-03-17,3000,Vendor Payment
2026-03-27,12000,Travel Expense
2026-03-06,3000,Client Payment
2026-03-16,2000,Bank Charges
2026-03-24,15000,Travel Expense
2026-03-25,2000,Salary Payment
2026-03-21,1000,Subscription Fee
2026-03-12,2000,Bank Charges
2026-03-14,15000,Salary Payment
2026-03-12,3000,Bank Charges
2026-03-15,15000,Client Payment
2026-03-16,1000,Client Payment
2026-03-16,2000,Travel Expense
2026-03-04,15000,Utility Bill
2026-03-17,3000,Utility Bill
2026-03-02,15000,Vendor Payment
2026-03-05,2000,Salary Payment
2026-03-14,7000,Office Supplies
2026-03-05,3000,Vendor Payment
2026-03-25,1000,Office Supplies
2026-03-11,12000,Vendor Payment
2026-03-11,12000,ATM Withdrawal
2026-03-01,5000,Bank Charges
2026-03-07,15000,Vendor Payment
2026-03-19,15000,Vendor Payment
2026-03-16,15000,Client Payment
2026-03-05,7000,Utility Bill
2026-03-21,5000,Utility Bill
2026-03-14,5000,Utility Bill
2026-03-01,1000,Travel Expense
2026-03-07,12000,Salary Payment
2026-03-31,1000,Salary Payment
2026-03-25,15000,Travel Expense
2026-03-07,1000,ATM Withdrawal
2026-03-21,12000,Subscription Fee
2026-03-08,12000,Salary Payment
2026-03-10,2000,Client Payment
2026-03-13,7000,Bank Charges
2026-03-06,1000,ATM Withdrawal
2026-03-10,3000,Office Supplies
2026-03-24,7000,Travel Expense
2026-03-11,5000,Vendor Payment
2026-03-11,5000,Salary Payment
2026-03-25,2000,Vendor Payment
2026-03-31,15000,Utility Bill
2026-03-01,2000,Subscription Fee
2026-03-24,2000,Subscription Fee
2026-03-24,1000,Travel Expense
2026-03-06,1000,Salary Payment
2026-03-23,12000,ATM Withdrawal
2026-03-13,12000,Bank Charges
2026-03-25,7000,ATM Withdrawal
2026-03-20,1000,Client Payment
2026-03-21,15000,ATM Withdrawal
2026-03-02,12000,Client Payment
2026-03-14,5000,Utility Bill
2026-03-04,7000,Bank Charges
2026-03-16,12000,Vendor Payment
2026-03-07,12000,ATM Withdrawal
2026-03-10,5000,Client Payment
2026-03-22,7000,Bank Charges
2026-03-20,7000,Vendor Payment
2026-03-14,15000,Client Payment
2026-03-17,12000,Client Payment
2026-03-10,1000,Client Payment
2026-03-16,2000,Subscription Fee
2026-03-25,3000,Travel Expense
2026-03-07,3000,Utility Bill
2026-03-10,2000,ATM Withdrawal
2026-03-18,5000,Subscription Fee
2026-03-23,5000,Salary Payment
2026-03-08,1000,ATM Withdrawal
2026-03-22,1000,Client Payment
2026-03-27,7000,Office Supplies
2026-03-05,1000,Travel Expense
2026-03-03,12000,Client Payment
2026-03-29,3000,Subscription Fee
2026-03-15,3000,Bank Charges
2026-03-15,1000,Client Payment
2026-03-27,2000,ATM Withdrawal
2026-03-28,3000,Salary Payment
2026-03-26,12000,Salary Payment
2026-03-14,12000,Client Payment
2026-03-04,15000,ATM Withdrawal
2026-03-01,15000,Vendor Payment
2026-03-22,12000,Vendor Payment
2026-03-11,3000,Office Supplies
2026-03-31,7000,Bank Charges
2026-03-29,12000,Client Payment
2026-03-12,15000,Salary Payment
2026-03-06,1000,Utility Bill
2026-03-13,5000,Bank Charges
2026-03-27,5000,Office Supplies
2026-03-26,5000,Vendor Payment
2026-03-04,2000,ATM Withdrawal
2026-03-31,15000,Vendor Payment
2026-03-04,5000,Office Supplies
2026-03-26,7000,Office Supplies
2026-03-06,7000,Utility Bill
2026-03-25,3000,ATM Withdrawal
2026-03-28,12000,Vendor Payment
2026-03-16,5000,Client Payment
2026-03-29,5000,Office Supplies
2026-03-02,1000,Bank Charges
2026-03-21,3000,ATM Withdrawal
2026-03-23,15000,Travel Expense
2026-03-25,12000,Subscription Fee
2026-03-31,12000,Salary Payment
2026-03-17,7000,Client Payment
2026-03-14,12000,Subscription Fee
2026-03-16,3000,Utility Bill
2026-03-05,15000,Travel Expense
2026-03-29,7000,ATM Withdrawal
2026-03-01,12000,Vendor Payment
2026-03-17,15000,Office Supplies
2026-03-28,5000,Vendor Payment
2026-03-03,15000,Office Supplies
2026-03-11,2000,Salary Payment
2026-03-09,1000,Travel Expense
2026-03-08,7000,Utility Bill
2026-03-13,15000,Subscription Fee
2026-03-03,5000,Office Supplies
2026-03-26,7000,Office Supplies
2026-03-03,15000,Office Supplies
2026-03-15,3000,Client Payment
2026-03-16,12000,ATM Withdrawal
2026-03-04,5000,Utility Bill
2026-03-02,7000,Travel Expense
2026-03-01,15000,Client Payment
2026-03-26,7000,Bank Charges
2026-03-29,7000,Travel Expense
2026-03-07,12000,Office Supplies
2026-03-31,3000,Salary Payment
2026-03-27,1000,Subscription Fee
2026-03-28,5000,Salary Payment
2026-03-18,15000,Office Supplies
2026-03-23,12000,Salary Payment
2026-03-23,5000,Client Payment
2026-03-04,15000,Subscription Fee
2026-03-01,3000,Salary Payment
2026-03-27,12000,Bank Charges
2026-03-18,7000,Salary Payment
2026-03-23,1000,ATM Withdrawal
2026-03-29,2000,Office Supplies
2026-03-05,15000,Utility Bill
2026-03-04,3000,Subscription Fee
2026-03-07,1000,Utility Bill
2026-03-07,5000,Subscription Fee
2026-03-23,3000,Client Payment
2026-03-25,5000,ATM Withdrawal
2026-03-30,12000,Client Payment
2026-03-25,5000,Office Supplies
2026-03-22,7000,Travel Expense
2026-03-05,5000,ATM Withdrawal
2026-03-17,12000,ATM Withdrawal
2026-03-18,5000,Office Supplies
2026-03-30,7000,Vendor Payment
2026-03-23,7000,Vendor Payment
2026-03-24,15000,Vendor Payment
2026-03-04,5000,Salary Payment
2026-03-17,5000,Utility Bill
2026-03-20,12000,Subscription Fee
2026-03-09,5000,Salary Payment
2026-03-10,5000,Vendor Payment
2026-03-05,5000,Travel Expense
2026-03-10,15000,Travel Expense
2026-03-28,3000,Travel Expense
2026-03-21,2000,Subscription Fee
2026-03-07,7000,Bank Charges
2026-03-22,3000,Vendor Payment
2026-03-23,12000,Vendor Payment
2026-03-17,7000,Salary Payment
2026-03-23,1000,Salary Payment
2026-03-18,5000,Utility Bill
2026-03-22,12000,Travel Expense
2026-03-10,15000,Utility Bill
2026-03-26,1000,Travel Expense
2026-03-04,1000,Utility Bill
2026-03-05,1000,ATM Withdrawal
2026-03-07,3000,Vendor Payment
2026-03-10,12000,Bank Charges
2026-03-05,15000,ATM Withdrawal
2026-03-23,15000,Bank Charges
2026-03-07,15000,Travel Expense
2026-03-02,3000,Office Supplies
2026-03-04,7000,Travel Expense
2026-03-28,2000,Travel Expense
2026-03-13,2000,Travel Expense
2026-03-26,15000,Bank Charges
2026-03-23,12000,ATM Withdrawal
2026-03-30,5000,Utility Bill
2026-03-14,15000,Salary Payment
2026-03-31,7000,ATM Withdrawal
2026-03-01,12000,Bank Charges
2026-03-07,7000,Office Supplies
2026-03-27,2000,Salary Payment
2026-03-25,7000,Travel Expense
2026-03-24,7000,Subscription Fee
2026-03-25,12000,Subscription Fee
2026-03-10,5000,Vendor Payment
2026-03-22,1000,Vendor Payment
2026-03-31,2000,Travel Expense
2026-03-04,5000,ATM Withdrawal
2026-03-14,3000,Travel Expense
2026-03-09,2000,Vendor Payment
2026-03-19,15000,Bank Charges
2026-03-01,3000,Office Supplies
2026-03-23,2000,ATM Withdrawal
2026-03-05,3000,ATM Withdrawal
2026-03-25,12000,Bank Charges
2026-03-16,15000,Travel Expense
2026-03-12,1000,Salary Payment
2026-03-17,2000,Vendor Payment
2026-03-17,1000,Travel Expense
2026-03-06,5000,Travel Expense
2026-03-18,5000,Client Payment
2026-03-12,2000,Subscription Fee
2026-03-22,3000,Salary Payment
2026-03-12,3000,Subscription Fee
2026-03-31,15000,Travel Expense
2026-03-16,7000,ATM Withdrawal
2026-03-04,12000,Salary Payment
2026-03-15,2000,Subscription Fee
2026-03-31,1000,Salary Payment
2026-03-13,15000,Client Payment
2026-03-13,3000,Travel Expense
2026-03-24,3000,ATM Withdrawal
2026-03-30,7000,Salary Payment
2026-03-17,15000,Travel Expense
2026-03-15,5000,ATM Withdrawal
2026-03-10,12000,Subscription Fee
2026-03-11,7000,Client Payment
2026-03-31,1000,Vendor Payment
2026-03-31,15000,Travel Expense
2026-03-18,1000,Client Payment
2026-03-07,12000,Subscription Fee
2026-03-28,12000,Utility Bill
2026-03-27,1000,Subscription Fee
2026-03-18,15000,Utility Bill
2026-03-21,15000,Client Payment
2026-03-24,12000,Vendor Payment
2026-03-01,5000,Salary Payment
2026-03-02,1000,Client Payment
2026-03-02,2000,Bank Charges
2026-03-18,1000,Subscription Fee
2026-03-30,3000,Utility Bill
2026-03-13,5000,Utility Bill
2026-03-14,3000,ATM Withdrawal
2026-03-13,12000,Client Payment
2026-03-18,1000,Client Payment
2026-03-25,12000,ATM Withdrawal
2026-03-23,15000,Client Payment
2026-03-12,7000,Client Payment
2026-03-10,15000,Bank Charges
2026-03-20,1000,Bank Charges
2026-03-25,5000,Utility Bill
2026-03-13,15000,ATM Withdrawal
2026-03-16,2000,Travel Expense
2026-03-08,2000,Utility Bill
2026-03-26,15000,Travel Expense
2026-03-10,12000,Vendor Payment
2026-03-10,12000,Salary Payment
2026-03-31,1000,Travel Expense
2026-03-28,7000,Vendor Payment
2026-03-04,1000,ATM Withdrawal
2026-03-19,7000,Utility Bill
2026-03-18,7000,Client Payment
2026-03-10,2000,Salary Payment
2026-03-07,5000,Travel Expense
2026-03-05,2000,Vendor Payment
2026-03-08,7000,Bank Charges
2026-03-07,1000,Vendor Payment
2026-03-22,15000,ATM Withdrawal
2026-03-28,15000,Travel Expense
2026-03-15,12000,Travel Expense
2026-03-03,3000,Client Payment
2026-03-09,1000,Subscription Fee
2026-03-24,7000,Office Supplies
2026-03-31,3000,Salary Payment
2026-03-05,12000,Subscription Fee
2026-03-04,3000,Client Payment
2026-03-29,2000,Salary Payment
2026-03-16,5000,Salary Payment
2026-03-20,12000,Bank Charges
2026-03-23,7000,Vendor Payment
2026-03-19,7000,Salary Payment
2026-03-26,3000,Utility Bill
2026-03-06,1000,Salary Payment
2026-03-08,15000,Subscription Fee
2026-03-23,12000,Utility Bill
2026-03-09,15000,Salary Payment
2026-03-05,12000,Salary Payment
2026-03-29,5000,Office Supplies
2026-03-15,3000,Bank Charges
2026-03-16,7000,Client Payment
2026-03-06,12000,Client Payment
2026-03-27,3000,Vendor Payment
2026-03-29,7000,Subscription Fee
2026-03-09,12000,Client Payment
2026-03-24,1000,ATM Withdrawal
2026-03-28,7000,ATM Withdrawal
2026-03-27,7000,Utility Bill
2026-03-25,7000,Subscription Fee
2026-03-30,1000,Travel Expense
2026-03-09,7000,Travel Expense
2026-03-16,12000,Vendor Payment
2026-03-12,5000,Subscription Fee
2026-03-29,15000,Bank Charges
2026-03-05,5000,Travel Expense
2026-03-17,1000,Utility Bill
2026-03-12,7000,ATM Withdrawal
2026-03-22,2000,Vendor Payment
2026-03-25,7000,Vendor Payment
2026-03-15,2000,Vendor Payment
2026-03-19,7000,Vendor Payment
2026-03-24,12000,Office Supplies
2026-03-31,3000,ATM Withdrawal
2026-03-08,15000,Office Supplies
2026-03-08,1000,Bank Charges
2026-03-12,2000,ATM Withdrawal
2026-03-22,2000,Travel Expense
2026-03-30,15000,Salary Payment
2026-03-13,5000,Office Supplies
2026-03-29,1000,ATM Withdrawal
2026-03-21,3000,Client Payment
2026-03-23,7000,Bank Charges
2026-03-27,12000,Bank Charges
2026-03-19,7000,Vendor Payment
2026-03-13,12000,Utility Bill
2026-03-12,7000,Client Payment
2026-03-17,3000,Utility Bill
2026-03-30,2000,Travel Expense
2026-03-13,3000,Salary Payment
2026-03-16,15000,Office Supplies
2026-03-29,7000,ATM Withdrawal
2026-03-17,2000,Office Supplies
2026-03-06,2000,Client Payment
2026-03-17,12000,Bank Charges
2026-03-07,2000,Vendor Payment
2026-03-06,3000,Client Payment
2026-03-22,2000,Utility Bill
2026-03-26,3000,Client Payment
2026-03-16,12000,Office Supplies
2026-03-16,2000,Vendor Payment
2026-03-21,15000,Utility Bill
2026-03-01,2000,ATM Withdrawal
2026-03-05,7000,Vendor Payment
2026-03-05,12000,Travel Expense
2026-03-02,7000,Vendor Payment
2026-03-02,2000,Bank Charges
2026-03-30,2000,Travel Expense
2026-03-31,5000,ATM Withdrawal
2026-03-29,12000,Bank Charges
2026-03-31,1000,Subscription Fee
2026-03-15,7000,Office Supplies
2026-03-28,5000,Vendor Payment
2026-03-08,15000,Utility Bill
2026-03-20,2000,Vendor Payment
2026-03-20,12000,Travel Expense
2026-03-09,2000,Salary Payment
2026-03-30,5000,Client Payment
2026-03-08,5000,Utility Bill
2026-03-05,1000,ATM Withdrawal
2026-03-07,7000,Travel Expense
2026-03-22,5000,Vendor Payment
2026-03-20,1000,Vendor Payment
2026-03-16,7000,ATM Withdrawal
2026-03-29,15000,Travel Expense
2026-03-17,15000,Client Payment
2026-03-03,5000,Vendor Payment
2026-03-29,7000,Travel Expense
2026-03-27,1000,Utility Bill
2026-03-17,5000,Salary Payment
2026-03-28,1000,Travel Expense
2026-03-14,2000,Office Supplies
2026-03-26,15000,Utility Bill
2026-03-12,7000,Client Payment
2026-03-14,2000,Bank Charges
2026-03-16,15000,Subscription Fee
2026-03-30,15000,Client Payment
2026-03-10,7000,Travel Expense
2026-03-14,3000,Subscription Fee
2026-03-01,12000,ATM Withdrawal
2026-03-19,7000,Client Payment
2026-03-17,1000,Utility Bill
2026-03-21,2000,Salary Payment
2026-03-14,3000,Client Payment
2026-03-05,5000,Bank Charges
2026-03-09,15000,Travel Expense
2026-03-14,7000,Salary Payment
2026-03-20,3000,Utility Bill
2026-03-25,2000,Utility Bill
2026-03-18,15000,Travel Expense
2026-03-16,2000,Salary Payment
2026-03-18,7000,Office Supplies
2026-03-09,3000,Salary Payment
2026-03-25,12000,Utility Bill
2026-03-24,2000,Client Payment
2026-03-24,2000,Office Supplies
2026-03-26,12000,Vendor Payment
2026-03-04,2000,Travel Expense
2026-03-13,15000,Salary Payment
2026-03-26,7000,ATM Withdrawal
2026-03-06,5000,ATM Withdrawal
2026-03-26,1000,Vendor Payment
2026-03-16,7000,Utility Bill
2026-03-03,1000,Bank Charges
2026-03-08,3000,Client Payment
2026-03-20,1000,Utility Bill
2026-03-30,5000,Travel Expense
2026-03-10,12000,ATM Withdrawal
2026-03-31,15000,Vendor Payment
2026-03-21,5000,Office Supplies
2026-03-01,2000,Travel Expense
2026-03-10,2000,ATM Withdrawal
2026-03-26,7000,Travel Expense
2026-03-17,12000,Subscription Fee
2026-03-20,2000,ATM Withdrawal
2026-03-12,2000,ATM Withdrawal
2026-03-06,1000,Bank Charges
2026-03-25,5000,Salary Payment
2026-03-22,5000,Utility Bill
2026-03-19,2000,Travel Expense
2026-03-01,12000,Client Payment
2026-03-30,1000,Travel Expense
2026-03-10,12000,Travel Expense
2026-03-30,7000,Salary Payment
2026-03-12,15000,Bank Charges
2026-03-08,7000,Subscription Fee
2026-03-15,5000,ATM Withdrawal
2026-03-09,2000,Utility Bill
2026-03-17,1000,Travel Expense
2026-03-03,7000,Bank Charges
2026-03-11,1000,Travel Expense
2026-03-31,3000,Travel Expense
2026-03-27,15000,Bank Charges
2026-03-23,5000,Utility Bill
2026-03-19,5000,Subscription Fee
2026-03-25,3000,Office Supplies
2026-03-22,5000,ATM Withdrawal
2026-03-16,1000,Bank Charges
2026-03-03,5000,Subscription Fee
2026-03-22,12000,Subscription Fee
2026-03-26,3000,Utility Bill
2026-03-31,3000,Travel Expense
2026-03-18,1000,Bank Charges
2026-03-08,3000,Client Payment
2026-03-13,12000,Salary Payment
2026-03-03,7000,Vendor Payment
2026-03-16,3000,Salary Payment
2026-03-07,7000,Bank Charges
2026-03-06,12000,Subscription Fee
2026-03-16,12000,Subscription Fee
2026-03-08,12000,Subscription Fee
2026-03-28,3000,Subscription Fee
2026-03-08,2000,Subscription Fee
2026-03-27,7000,Salary Payment
2026-03-05,15000,Client Payment
2026-03-04,1000,Office Supplies
2026-03-20,1000,Travel Expense
2026-03-31,1000,Office Supplies
2026-03-12,7000,Salary Payment
2026-03-16,7000,Bank Charges
2026-03-16,2000,Travel Expense
2026-03-09,5000,Subscription Fee
2026-03-25,7000,Vendor Payment
2026-03-02,7000,Utility Bill
2026-03-16,7000,ATM Withdrawal
2026-03-17,3000,Utility Bill
2026-03-28,12000,Vendor Payment
2026-03-15,1000,Travel Expense
2026-03-15,3000,ATM Withdrawal
2026-03-01,12000,Subscription Fee
2026-03-13,7000,Client Payment
2026-03-11,3000,Bank Charges
2026-03-06,7000,Bank Charges
2026-03-08,3000,Office Supplies
2026-03-31,7000,Salary Payment
2026-03-12,2000,Office Supplies
2026-03-14,2000,Utility Bill
2026-03-23,15000,Salary Payment
2026-03-12,15000,Utility Bill
2026-03-09,5000,Vendor Payment
2026-03-19,2000,Subscription Fee
2026-03-27,1000,Bank Charges
2026-03-26,2000,Travel Expense
2026-03-14,15000,Utility Bill
2026-03-07,2000,Vendor Payment
2026-03-16,15000,ATM Withdrawal
2026-03-06,5000,Office Supplies
2026-03-05,15000,Travel Expense
2026-03-18,12000,Salary Payment
2026-03-26,5000,Bank Charges
2026-03-09,7000,ATM Withdrawal
2026-03-13,1000,Vendor Payment
2026-03-02,2000,Bank Charges
2026-03-16,15000,Client Payment
2026-03-15,12000,Salary Payment
2026-03-09,3000,Salary Payment
2026-03-18,7000,Bank Charges
2026-03-12,1000,Utility Bill
2026-03-04,3000,Subscription Fee
2026-03-19,7000,Travel Expense
2026-03-06,15000,Bank Charges
2026-03-12,3000,Travel Expense
2026-03-16,15000,Office Supplies
2026-03-29,1000,Utility Bill
2026-03-20,3000,Office Supplies
2026-03-21,2000,Vendor Payment
2026-03-21,15000,Salary Payment
2026-03-14,12000,Utility Bill
2026-03-28,1000,Client Payment
2026-03-06,3000,Subscription Fee
2026-03-11,3000,Bank Charges
2026-03-23,3000,Utility Bill
2026-03-09,5000,Salary Payment
2026-03-24,7000,Travel Expense
2026-03-31,5000,Utility Bill
2026-03-06,2000,ATM Withdrawal
2026-03-05,12000,Subscription Fee
2026-03-22,3000,Client Payment
2026-03-07,2000,Utility Bill
2026-03-04,1000,Client Payment
2026-03-30,5000,Travel Expense
2026-03-02,1000,Utility Bill
2026-03-17,15000,Client Payment
2026-03-04,3000,Vendor Payment
2026-03-03,12000,Utility Bill
2026-03-10,2000,Subscription Fee
2026-03-24,3000,Office Supplies
2026-03-21,2000,Vendor Payment
2026-03-17,15000,Vendor Payment
2026-03-01,1000,Salary Payment
2026-03-28,3000,Office Supplies
2026-03-15,15000,Travel Expense
2026-03-30,3000,Travel Expense
2026-03-15,2000,Travel Expense
2026-03-06,7000,Office Supplies
2026-03-21,12000,Utility Bill
2026-03-17,12000,Travel Expense
2026-03-10,3000,Office Supplies
2026-03-18,2000,Client Payment
2026-03-15,3000,Salary Payment
2026-03-14,3000,Vendor Payment
2026-03-10,1000,ATM Withdrawal
2026-03-17,15000,Vendor Payment
2026-03-12,3000,Office Supplies
2026-03-18,1000,Office Supplies
2026-03-31,15000,Office Supplies
2026-03-10,1000,Utility Bill
2026-03-26,3000,Subscription Fee
2026-03-26,1000,Travel Expense
2026-03-12,2000,Utility Bill
2026-03-29,7000,Utility Bill
2026-03-13,2000,Vendor Payment
2026-03-23,12000,Utility Bill
2026-03-27,5000,Subscription Fee
2026-03-09,1000,Utility Bill
2026-03-21,2000,Travel Expense
2026-03-25,15000,Bank Charges
2026-03-10,12000,Travel Expense
2026-03-26,3000,Utility Bill
2026-03-07,15000,Client Payment
2026-03-06,2000,Bank Charges
2026-03-04,12000,Office Supplies
2026-03-20,5000,Bank Charges
2026-03-23,7000,Office Supplies
2026-03-07,3000,ATM Withdrawal
2026-03-05,1000,Travel Expense
2026-03-01,2000,Client Payment
2026-03-10,3000,Vendor Payment
2026-03-23,5000,ATM Withdrawal
2026-03-08,1000,Vendor Payment
2026-03-01,5000,Subscription Fee
2026-03-11,5000,Bank Charges
2026-03-26,15000,Office Supplies
2026-03-12,5000,ATM Withdrawal
2026-03-11,1000,Vendor Payment
2026-03-02,3000,Utility Bill
2026-03-03,7000,Office Supplies
2026-03-06,2000,Bank Charges
2026-03-27,5000,ATM Withdrawal
2026-03-04,15000,Subscription Fee
2026-03-13,15000,Office Supplies
2026-03-08,12000,ATM Withdrawal
2026-03-07,5000,Client Payment
2026-03-17,12000,Subscription Fee
2026-03-16,5000,Bank Charges
2026-03-30,3000,Vendor Payment
2026-03-21,12000,ATM Withdrawal
2026-03-24,7000,Travel Expense
2026-03-04,3000,Office Supplies
2026-03-21,3000,Subscription Fee
2026-03-12,1000,Subscription Fee
2026-03-04,2000,Utility Bill
2026-03-11,1000,Vendor Payment
2026-03-26,3000,Client Payment
2026-03-13,15000,Subscription Fee
2026-03-01,1000,Office Supplies
2026-03-23,7000,Vendor Payment
2026-03-12,15000,Client Payment
2026-03-08,2000,Office Supplies
2026-03-03,12000,Salary Payment
2026-03-30,15000,ATM Withdrawal
2026-03-02,3000,Vendor Payment
2026-03-23,7000,Client Payment
2026-03-05,5000,Subscription Fee
2026-03-11,7000,Salary Payment
2026-03-26,5000,Subscription Fee
2026-03-01,12000,Utility Bill
2026-03-12,12000,Vendor Payment
2026-03-09,1000,Office Supplies
2026-03-23,5000,Travel Expense
2026-03-10,7000,Office Supplies
2026-03-07,7000,Vendor Payment
2026-03-18,3000,Salary Payment
2026-03-24,5000,Bank Charges
2026-03-28,15000,Travel Expense
2026-03-06,1000,Travel Expense
2026-03-05,5000,Bank Charges
2026-03-27,3000,Travel Expense
2026-03-12,5000,ATM Withdrawal
2026-03-25,12000,Travel Expense
2026-03-13,12000,Vendor Payment
2026-03-29,1000,Salary Payment
2026-03-25,7000,Subscription Fee
2026-03-11,12000,Client Payment
2026-03-22,7000,Utility Bill
2026-03-07,7000,Office Supplies
2026-03-25,7000,Vendor Payment
2026-03-20,3000,Salary Payment
2026-03-14,12000,Salary Payment
2026-03-04,1000,Travel Expense
2026-03-22,1000,ATM Withdrawal
2026-03-27,2000,Vendor Payment
2026-03-28,1000,Subscription Fee
2026-03-04,5000,Subscription Fee
2026-03-04,1000,Utility Bill
2026-03-22,5000,Travel Expense
2026-03-20,12000,Bank Charges
2026-03-02,3000,Subscription Fee
2026-03-20,12000,Client Payment
2026-03-01,2000,Office Supplies
2026-03-30,15000,Client Payment
2026-03-15,15000,ATM Withdrawal
2026-03-12,7000,Utility Bill
2026-03-27,3000,ATM Withdrawal
2026-03-27,7000,Bank Charges
2026-03-17,1000,Client Payment
2026-03-27,3000,Client Payment
2026-03-31,2000,Travel Expense
2026-03-04,1000,Subscription Fee
2026-03-18,5000,Subscription Fee
2026-03-07,7000,Subscription Fee
2026-03-19,12000,Vendor Payment
2026-03-18,12000,Travel Expense
2026-03-14,12000,Client Payment
2026-03-25,12000,Salary Payment
2026-03-22,5000,Utility Bill
2026-03-29,1000,Vendor Payment
2026-03-26,2000,Travel Expense
2026-03-13,7000,Salary Payment
2026-03-22,2000,Travel Expense
2026-03-20,5000,Salary Payment
2026-03-29,3000,Travel Expense
2026-03-11,15000,Salary Payment
2026-03-14,15000,Utility Bill
2026-03-27,12000,Salary Payment
2026-03-20,2000,Travel Expense
2026-03-07,5000,Travel Expense
2026-03-30,12000,Bank Charges
2026-03-12,5000,Office Supplies
2026-03-31,5000,ATM Withdrawal
2026-03-24,1000,Bank Charges
2026-03-20,1000,Travel Expense
2026-03-05,3000,ATM Withdrawal
2026-03-10,2000,Subscription Fee
2026-03-28,3000,ATM Withdrawal
2026-03-25,15000,Bank Charges
2026-03-30,7000,Travel Expense
2026-03-18,7000,Vendor Payment
2026-03-04,1000,Office Supplies
2026-03-12,2000,Vendor Payment
2026-03-09,3000,Subscription Fee
2026-03-08,3000,Bank Charges
2026-03-03,7000,Utility Bill
2026-03-19,2000,Client Payment
2026-03-24,3000,Office Supplies
2026-03-06,5000,Client Payment
2026-03-20,12000,Bank Charges
2026-03-02,12000,Utility Bill
2026-03-03,15000,ATM Withdrawal
2026-03-30,15000,Salary Payment
2026-03-12,15000,Utility Bill
2026-03-14,15000,Client Payment
2026-03-28,15000,Subscription Fee
2026-03-24,12000,ATM Withdrawal
2026-03-21,15000,Utility Bill
2026-03-02,3000,Travel Expense
2026-03-02,3000,Travel Expense
2026-03-19,2000,Salary Payment
2026-03-17,12000,Subscription Fee
2026-03-05,1000,Utility Bill
2026-03-15,15000,Travel Expense
2026-03-03,2000,Utility Bill
2026-03-10,15000,Utility Bill
2026-03-05,2000,Salary Payment
2026-03-03,5000,ATM Withdrawal
2026-03-18,5000,Bank Charges
2026-03-03,5000,Travel Expense
2026-03-14,15000,Vendor Payment
2026-03-25,2000,Office Supplies
2026-03-18,2000,Office Supplies
2026-03-13,12000,Subscription Fee
2026-03-18,7000,Travel Expense
2026-03-08,2000,Client Payment
2026-03-09,15000,Utility Bill
2026-03-11,12000,Client Payment
2026-03-04,12000,Utility Bill
2026-03-14,3000,Salary Payment
2026-03-07,3000,Salary Payment
2026-03-20,12000,ATM Withdrawal
2026-03-25,3000,Vendor Payment
2026-03-12,7000,Office Supplies
2026-03-20,2000,Office Supplies
2026-03-02,15000,Subscription Fee
2026-03-07,12000,Salary Payment
2026-03-05,15000,Client Payment
2026-03-04,12000,ATM Withdrawal
2026-03-08,7000,Vendor Payment
2026-03-28,15000,Bank Charges
2026-03-01,3000,Client Payment
2026-03-10,5000,Office Supplies
2026-03-01,3000,Subscription Fee
2026-03-24,7000,Subscription Fee
2026-03-07,7000,Travel Expense
2026-03-25,3000,Travel Expense
2026-03-16,7000,Vendor Payment
2026-03-23,12000,ATM Withdrawal
2026-03-13,7000,Travel Expense
2026-03-02,3000,Vendor Payment
2026-03-02,3000,Subscription Fee
2026-03-26,12000,Bank Charges
2026-03-02,5000,ATM Withdrawal
2026-03-03,5000,Bank Charges
2026-03-22,15000,Salary Payment
2026-03-28,1000,ATM Withdrawal
2026-03-10,15000,Utility Bill
2026-03-08,5000,Travel Expense
2026-03-23,1000,Salary Payment
2026-03-16,15000,Travel Expense
2026-03-03,2000,Subscription Fee
2026-03-17,5000,Travel Expense
2026-03-30,12000,ATM Withdrawal
2026-03-02,2000,Travel Expense
2026-03-10,3000,Office Supplies
2026-03-13,12000,Vendor Payment
2026-03-01,3000,Salary Payment
2026-03-12,12000,Bank Charges
2026-03-08,7000,Bank Charges
